old_tag,old_tag_object_sha,old_commit_sha,date,commit_subject,docs_only,proposed_corrected_tag,rationale
v0.1,afede102dfcd581807fd6eab9c8ec1d0c92c82bf,8431dd524e049cd37aa66c475b082751c7d5129c,2026-05-29T03:37:31Z,docs: add master plan v0.1,yes,v0.1.0,Non-compliant short SemVer tag; corrected patch-zero alias proposed.
v0.2,35f38f238f187e8e91a87199b35636ca577a9ffd,f80cbc449d2b017c16be59a04280c47cb254fc0e,2026-05-29T03:37:31Z,docs: update master plan to v0.2,yes,v0.2.0,Non-compliant short SemVer tag; corrected patch-zero alias proposed.
v0.3,ecbeb3b53e159b5088d2e7b34a015d57e5eca15a,712e0b73fddceb747d8b8480b69aa26de50f8fd4,2026-05-29T03:37:31Z,docs: update master plan to v0.3,yes,v0.3.0,Non-compliant short SemVer tag; corrected patch-zero alias proposed.
v0.4,810d1ea24d8ec767cf7a1424226bdc1ed21b8771,a3d8ebd5f3b055a086a89328de75f76d0d82ec12,2026-05-29T03:37:32Z,docs: add canonical trust and layered architecture v0.4,yes,v0.4.0,Non-compliant short SemVer tag; corrected patch-zero alias proposed.
v0.4.1,75e99762afaf0f025953a47e149da6aeefa1b563,681cf1b0bf0017bdcfbb830be4bddfe094890941,2026-05-29T03:37:32Z,docs: update foundation-first workflow v0.4.1,no,v0.4.1,Existing pre-1.0 SemVer tag preserved.
v0.4.5,2706241ef37022764acb39853e82bd0be9e61713,c978d989ea5c67f06c7b1455cc010633044d7fbb,2026-05-29T03:37:33Z,docs: expand model routing foundation v0.4.5,no,v0.4.5,Existing pre-1.0 SemVer tag preserved.
v0.5.0,3c2a62a5fcea8aa31521bbd802a6197da89ed1d4,1353631638b228e9fbae2299fe32088b89d2351b,2026-05-29T03:37:33Z,docs: add foundation gate implementation plan v0.5.0,no,v0.5.0,Existing pre-1.0 SemVer tag preserved.
v0.5.1,9b88a8d123eb6f828d6998b0c705abc071c99d03,3daac3308aa4dfdb379b03b50777c5761f39cbb9,2026-05-29T03:37:34Z,docs: add pre-coding prompt and import pack v0.5.1,no,v0.5.1,Existing pre-1.0 SemVer tag preserved.
v0.5.2,2e1b7ba775df34a7eb43eb3dd06b65de974d8437,bb31c1a188581d1fddca823c5dd243cf290f0058,2026-05-29T03:37:35Z,docs: integrate scalable stack and UI strategy v0.5.2,no,v0.5.2,Existing pre-1.0 SemVer tag preserved.
v0.5.3,0e130e91000851b9fe582ce780e08897fb7b6411,0e130e91000851b9fe582ce780e08897fb7b6411,2026-05-29T11:55:28-07:00,docs: sync foundation baseline to v0.5.3,no,v0.5.3,Existing pre-1.0 SemVer tag preserved.
v0.5.4,9bdece395eec39c594d9a28f4a76d833fa9d1123,9bdece395eec39c594d9a28f4a76d833fa9d1123,2026-05-29T22:12:44-07:00,docs: add runtime hygiene micro-foundation v0.5.4,no,v0.5.4,Existing pre-1.0 SemVer tag preserved.
v0.5.5,2cf59545aa489b65993953054c0fa8127b0c04f1,2cf59545aa489b65993953054c0fa8127b0c04f1,2026-05-29T22:46:26-07:00,docs: add local runtime context survival foundation v0.5.5,no,v0.5.5,Existing pre-1.0 SemVer tag preserved.
v0.5.6,3dc1529a8e1f1a5c77756b9090295176585b4e19,3dc1529a8e1f1a5c77756b9090295176585b4e19,2026-05-29T23:19:32-07:00,docs: add truth grounding evidence governance v0.5.6,no,v0.5.6,Existing pre-1.0 SemVer tag preserved.
v0.5.7,9591db96ba2745d3a454a313717d6140bfc80030,9591db96ba2745d3a454a313717d6140bfc80030,2026-05-30T08:13:46-07:00,docs: add observability standards mapping v0.5.7,no,v0.5.7,Existing pre-1.0 SemVer tag preserved.
v0.5.8,9462a9ec5f1d023902c525c6a28df5f4c2b73a8f,61cde3f4e80af8a8a22556e7c6a7c20034bf22f6,2026-05-30T09:25:03-07:00,Bump version to v0.5.8 and implement Milestone M0 & M0.5 (Scaffolding & Hygiene Models),no,v0.5.8,Existing pre-1.0 SemVer tag preserved.
v0.5.9,9b331ff00e4fb2cbb8cf6fd5ce0647fb90fa27de,9b331ff00e4fb2cbb8cf6fd5ce0647fb90fa27de,2026-05-30T11:19:21-07:00,chore: align M1 release baseline to v0.5.9,no,v0.5.9,Existing pre-1.0 SemVer tag preserved.
v0.6.0,522166e693a73a42dc4ce48701fec6952c94c645,522166e693a73a42dc4ce48701fec6952c94c645,2026-05-30T17:31:45-07:00,feat: implement M2 event ledger and run state foundation,no,v0.6.0,Existing pre-1.0 SemVer tag preserved.
v0.6.1,b23690d5d0f1f7d8169860db9b5e50e8d91063b4,b23690d5d0f1f7d8169860db9b5e50e8d91063b4,2026-05-31T09:03:36-07:00,feat: implement M2.5 world state and runtime boundary contracts,no,v0.6.1,Existing pre-1.0 SemVer tag preserved.
v0.7.0,832bdeee7934e9df40c522a0b9e5356bd9fa38dc,832bdeee7934e9df40c522a0b9e5356bd9fa38dc,2026-05-31T10:32:20-07:00,feat: implement M3 consent ledger and tool broker policy foundation,no,v0.7.0,Existing pre-1.0 SemVer tag preserved.
v0.7.1,6aed37afb10e16cf028c598e313b1b483f89cbc3,6aed37afb10e16cf028c598e313b1b483f89cbc3,2026-05-31T14:14:34-07:00,feat: implement M3.5 secret broker and provider registry foundation,no,v0.7.1,Existing pre-1.0 SemVer tag preserved.
v0.8.0,b025d6c1b88d482bd879e92a2fa05f365feb8ea5,b025d6c1b88d482bd879e92a2fa05f365feb8ea5,2026-05-31T17:05:11-07:00,feat: implement M4 memory service and file manager foundation,no,v0.8.0,Existing pre-1.0 SemVer tag preserved.
v0.8.1,b2d405e56b11b8ed1925b2aac6395d250cc1350f,b2d405e56b11b8ed1925b2aac6395d250cc1350f,2026-05-31T17:33:27-07:00,feat: implement M4.5 truth source and evidence governance foundation,no,v0.8.1,Existing pre-1.0 SemVer tag preserved.
v0.9.0,deabfe8797a60166372a79aab3f19d7a3810ef47,deabfe8797a60166372a79aab3f19d7a3810ef47,2026-05-31T17:50:02-07:00,feat: implement M5 minimum lovable kernel foundation,no,v0.9.0,Existing pre-1.0 SemVer tag preserved.
v0.10.0,a27824d20c6c62f07712ad3434ba8ce7fdc4a8b4,a27824d20c6c62f07712ad3434ba8ce7fdc4a8b4,2026-05-31T18:28:40-07:00,fix: avoid foundation gate secret scan false positive,no,v0.10.0,Existing pre-1.0 SemVer tag preserved.
v0.10.1,6e9fb8bd1d8e9bbea98be9a5a11bd3f93b96ab64,6e9fb8bd1d8e9bbea98be9a5a11bd3f93b96ab64,2026-05-31T18:43:13-07:00,chore: harden foundation gate verification v0.10.1,no,v0.10.1,Existing pre-1.0 SemVer tag preserved.
v0.11.0,333f7349425649bab757b763cecd86a35d0257c7,333f7349425649bab757b763cecd86a35d0257c7,2026-05-31T19:18:46-07:00,feat: implement M7 model router and cost governor foundation,no,v0.11.0,Existing pre-1.0 SemVer tag preserved.
v0.11.1,bb47271165ef6745293bafabbb269f0b8f0d5847,bb47271165ef6745293bafabbb269f0b8f0d5847,2026-05-31T20:11:23-07:00,fix: harden M7 approval budget and context routing policies,no,v0.11.1,Existing pre-1.0 SemVer tag preserved.
